example_id                                                         | status | run_time        |
./spec/models/appointment_spec.rb[1:5:5:2]                         | passed | 0.01318 seconds |
./spec/models/appointment_spec.rb[1:5:6:1]                         | passed | 0.01285 seconds |
./spec/models/appointment_spec.rb[1:5:6:2]                         | passed | 0.01291 seconds |
./spec/models/appointment_spec.rb[1:5:7:1]                         | passed | 0.01249 seconds |
./spec/models/appointment_spec.rb[1:5:7:2]                         | passed | 0.0146 seconds  |
./spec/models/appointment_spec.rb[1:5:7:3]                         | passed | 0.01574 seconds |
./spec/models/appointment_spec.rb[1:6:1:1]                         | passed | 0.01438 seconds |
./spec/models/appointment_spec.rb[1:6:1:2]                         | passed | 0.01666 seconds |
./spec/models/appointment_spec.rb[1:6:1:3]                         | passed | 0.01671 seconds |
./spec/models/appointment_spec.rb[1:6:1:4]                         | passed | 0.01849 seconds |
./spec/models/appointment_spec.rb[1:6:1:5]                         | passed | 0.01835 seconds |
./spec/models/client_spec.rb[1:1:1]                                | passed | 0.00357 seconds |
./spec/models/client_spec.rb[1:2:1]                                | passed | 0.01666 seconds |
./spec/models/client_spec.rb[1:2:2]                                | passed | 0.01552 seconds |
./spec/models/client_spec.rb[1:2:3]                                | passed | 0.01472 seconds |
./spec/models/client_spec.rb[1:2:4]                                | passed | 0.02044 seconds |
./spec/models/client_spec.rb[1:2:5]                                | passed | 0.03301 seconds |
./spec/models/client_spec.rb[1:2:6]                                | passed | 0.01959 seconds |
./spec/models/client_spec.rb[1:3:1:1]                              | passed | 0.04947 seconds |
./spec/models/client_spec.rb[1:3:2:1]                              | passed | 0.04875 seconds |
./spec/models/client_spec.rb[1:3:3:1]                              | passed | 0.04927 seconds |
./spec/models/client_spec.rb[1:3:4:1]                              | passed | 0.05368 seconds |
./spec/models/client_spec.rb[1:4:1]                                | passed | 0.01025 seconds |
./spec/models/client_spec.rb[1:5:1:1]                              | passed | 0.02382 seconds |
./spec/models/client_spec.rb[1:5:2:1]                              | passed | 0.02701 seconds |
./spec/models/client_spec.rb[1:5:3:1]                              | passed | 0.00962 seconds |
./spec/models/client_spec.rb[1:5:3:2]                              | passed | 0.01173 seconds |
./spec/models/client_spec.rb[1:5:3:3]                              | passed | 0.01532 seconds |
./spec/models/client_spec.rb[1:5:4:1]                              | passed | 0.00895 seconds |
./spec/models/client_spec.rb[1:5:4:2]                              | passed | 0.01888 seconds |
./spec/models/client_spec.rb[1:6:1:1]                              | passed | 0.00772 seconds |
./spec/models/client_spec.rb[1:6:1:2]                              | passed | 0.01722 seconds |
./spec/models/client_spec.rb[1:6:1:3]                              | passed | 0.02121 seconds |
./spec/models/client_spec.rb[1:6:1:4]                              | passed | 0.02304 seconds |
./spec/models/client_spec.rb[1:6:1:5]                              | passed | 0.01746 seconds |
./spec/requests/api/v1/clients_spec.rb[1:1:1]                      | passed | 0.01738 seconds |
./spec/requests/api/v1/clients_spec.rb[1:1:2]                      | passed | 0.01718 seconds |
./spec/requests/api/v1/clients_spec.rb[1:1:3]                      | passed | 0.01493 seconds |
./spec/requests/api/v1/clients_spec.rb[1:1:4:1]                    | passed | 0.05034 seconds |
./spec/requests/api/v1/clients_spec.rb[1:2:1]                      | passed | 0.01702 seconds |
./spec/requests/api/v1/clients_spec.rb[1:2:2:1]                    | passed | 0.19121 seconds |
./spec/requests/api/v1/clients_spec.rb[1:3:1:1]                    | passed | 0.0219 seconds  |
./spec/requests/api/v1/clients_spec.rb[1:3:1:2]                    | passed | 0.02049 seconds |
./spec/requests/api/v1/clients_spec.rb[1:3:1:3]                    | passed | 0.02371 seconds |
./spec/requests/api/v1/clients_spec.rb[1:3:2:1]                    | passed | 0.23244 seconds |
./spec/requests/api/v1/clients_spec.rb[1:3:2:2]                    | passed | 0.26152 seconds |
./spec/requests/api/v1/clients_spec.rb[1:4:1:1]                    | passed | 0.03911 seconds |
./spec/requests/api/v1/clients_spec.rb[1:4:1:2]                    | passed | 0.0362 seconds  |
./spec/requests/api/v1/clients_spec.rb[1:4:2:1]                    | passed | 0.27074 seconds |
./spec/requests/api/v1/clients_spec.rb[1:4:3:1]                    | passed | 0.23184 seconds |
./spec/requests/api/v1/clients_spec.rb[1:5:1]                      | passed | 0.08806 seconds |
./spec/requests/api/v1/clients_spec.rb[1:5:2]                      | passed | 0.02926 seconds |
./spec/requests/api/v1/clients_spec.rb[1:5:3:1]                    | passed | 0.2442 seconds  |
./spec/requests/api/v1/clients_spec.rb[1:6:1:1]                    | passed | 0.00955 seconds |
./spec/requests/api/v1/clients_spec.rb[1:6:2:1]                    | passed | 0.00695 seconds |
./spec/requests/api/v1/clients_spec.rb[1:6:2:2]                    | passed | 0.01034 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:1:1]           | passed | 0.01518 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:1:2]           | passed | 0.01193 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:1:3]           | passed | 0.01295 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:1:4]           | passed | 0.01581 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:1:5]           | passed | 0.01676 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:1:6]           | passed | 0.01523 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:1:7]           | passed | 0.01615 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:1:8]           | passed | 0.0121 seconds  |
./spec/serializers/appointment_serializer_spec.rb[1:1:9]           | passed | 0.01531 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:1:10]          | passed | 0.01242 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:2:1]           | passed | 0.01602 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:2:2]           | passed | 0.01592 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:3:1]           | passed | 0.01846 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:3:2]           | passed | 0.02054 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:4:1]           | passed | 0.01417 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:5:1]           | passed | 0.03191 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:6:1]           | passed | 0.03208 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:7:1]           | passed | 0.01965 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:7:2]           | passed | 0.01629 seconds |
./spec/serializers/appointment_serializer_spec.rb[1:7:3]           | passed | 0.0194 seconds  |
./spec/serializers/client_serializer_spec.rb[1:1:1]                | passed | 0.01777 seconds |
./spec/serializers/client_serializer_spec.rb[1:1:2]                | passed | 0.01432 seconds |
./spec/serializers/client_serializer_spec.rb[1:1:3]                | passed | 0.01292 seconds |
./spec/serializers/client_serializer_spec.rb[1:1:4]                | passed | 0.01203 seconds |
./spec/serializers/client_serializer_spec.rb[1:1:5]                | passed | 0.01509 seconds |
./spec/serializers/client_serializer_spec.rb[1:1:6]                | passed | 0.02339 seconds |
./spec/serializers/client_serializer_spec.rb[1:1:7]                | passed | 0.01322 seconds |
./spec/serializers/client_serializer_spec.rb[1:1:8]                | passed | 0.01403 seconds |
./spec/serializers/client_serializer_spec.rb[1:1:9]                | passed | 0.01318 seconds |
./spec/serializers/client_serializer_spec.rb[1:2:1]                | passed | 0.03297 seconds |
./spec/serializers/client_serializer_spec.rb[1:2:2]                | passed | 0.03794 seconds |
./spec/serializers/client_serializer_spec.rb[1:3:1]                | passed | 0.01278 seconds |
./spec/serializers/client_serializer_spec.rb[1:3:2]                | passed | 0.01861 seconds |
./spec/serializers/client_serializer_spec.rb[1:4:1]                | passed | 0.02387 seconds |
./spec/serializers/client_serializer_spec.rb[1:5:1]                | passed | 0.01228 seconds |
./spec/services/external_api/base_service_spec.rb[1:1:1]           | passed | 0.0014 seconds  |
./spec/services/external_api/base_service_spec.rb[1:2:1]           | passed | 0.00095 seconds |
./spec/services/external_api/base_service_spec.rb[1:2:2]           | passed | 0.00118 seconds |
./spec/services/external_api/base_service_spec.rb[1:2:3]           | passed | 0.00312 seconds |
